"","Timestamp","What did he try?","How many times?","Liked?"
"1",2026-05-30 14:00:30.312,"kiwi,yellow-no skin",1,"Yes"
"2",2026-05-29 14:00:54,"Goldfish wheat",1,NA
"3",2026-05-28 14:01:17,"Salmon, baked",1,NA
"4",2026-05-28 14:01:43,"sucker, probiotic",1,"Yes"
"5",2026-05-27 14:01:57,"Mystery item",1,NA
"6",2026-05-27 14:02:08,"pudding, chocolate-pouch",1,"No"
"7",2026-05-27 14:02:25,"pudding, chocolate-container",1,"Yes"
"8",2026-05-31 10:30:55.323,"Yogurt, covered raisins - Strawberry vanilla",1,"Yes"
"9",2026-05-31 12:53:04.710001,"Chicken meat stick",1,"Yes"
"10",2026-05-31 15:32:47.88,"Pbj with crust",1,"Not sure"
"11",2026-06-02 13:57:35.857999,"Burrito, beef",2,"Yes"
"12",2026-06-02 13:57:51.65,"Watermelon",1,"Yes"
"13",2026-06-02 18:55:00.313,"Brownie, glu free fiber",1,"Yes"
"14",2026-06-03 13:01:50.033,"Watermelon",1,"Yes"
"15",2026-06-03 13:02:27.2,"Mac and cheese, camp",2,"No"
"16",2026-06-03 13:02:46.532,"Mac and cheese, camp glu free",2,"No"
"17",2026-06-03 18:13:40.405,"Limeaid",3,"Not sure"
"18",2026-06-05 17:54:49.691,"pizza, cheese-dominos",1,"Yes"
"19",2026-06-05 17:55:19.448999,"Motts gummy",2,"Not sure"
"20",2026-06-06 21:16:08.154,"Pbj with crust",2,"Not sure"
"21",2026-06-07 18:23:56.277999,"Pbj with crust",1,"Not sure"
"22",2026-06-07 18:24:56.642,"carrots, cooked",1,"No"
"23",2026-06-07 18:41:13.967999,"Spinach, sniff",1,"Not sure"
"24",2026-06-02 15:31:35,"jello, liquified",1,"Yes"
"25",2026-06-09 17:32:40.48,"peanuts, honey roasted",1,"Not sure"
"26",2026-06-09 17:34:58.003,"Pbj with crust",1,"Yes"
"27",2026-06-09 19:10:36.081,"Root beer float",1,"Yes"
"28",2026-06-10 17:54:59.549,"taco, pork",1,"Yes"
"29",2026-06-11 19:02:19.690001,"Dragon fruit",1,"No"
"30",2026-06-11 19:02:31.818,"Shrimp",1,"Yes"
"31",2026-06-12 17:13:48.964,"cherry, dried",1,"Yes"
"32",2026-06-12 18:12:45.135,"Noodle, spaghetti",1,"No"
"33",2026-06-12 20:34:33.293,"Popcorn, weird-market",1,"No"
"34",2026-06-13 11:48:34.625,"Celery and peanut butter",1,"Not sure"
"35",2026-06-13 12:35:59.28,"Corn nuts",1,"No"
"36",2026-06-13 12:48:02.254,"Muffin, Choco chip with apple cinnamon",1,"No"
"37",2026-06-14 11:06:36.879,"Grape, frozen",1,"Yes"
"38",2026-06-15 20:06:41.633,"Pbj with crust",1,"Yes"
"39",2026-06-16 19:48:48.136,"Plum, cherry",1,"No"
"40",2026-06-17 19:05:49.543,"Potato, scalloped",1,"No"
"41",2026-06-19 21:22:30.983,"Water chase, acyclovir",1,"No"
"42",2026-06-20 21:29:40.591,"Burrito, beef",3,"No"
"43",2026-06-21 18:27:53.877,"Pad thai",1,"Yes"
"44",2026-06-24 12:48:50.718,"Pudding, container",3,"Yes"
